samples,richness,evenness,shannon,simpson,inv_simpson,chao1,PD_whole_tree,treatment
O0125,8342,0.481579433,6.273139225,0.981227241,53.26867386,11786.4431,255.89096,Treatment 4
O0131,3550,0.448766101,5.292569369,0.981486083,54.01342253,5073.860887,118.8283,Treatment 4
O0143,5428,0.468384326,5.81087197,0.985402112,68.50306247,7733.005967,180.54388,Treatment 4
O0146,2762,0.420198896,4.803502671,0.96721958,30.50601534,3848.960317,98.03036,Treatment 4
O0202,5865,0.464408944,5.813431865,0.980526673,51.35229344,8870.045618,191.34889,Treatment 4
o0255,3932,0.481783419,5.752998746,0.987203409,78.14581337,4728.367089,135.26389,Treatment 4
O0343,9928,0.539429405,7.162159247,0.996028248,251.7780818,14062.32995,298.99077,Treatment 4
o0373,4434,0.460091678,5.573731431,0.98403711,62.64529788,5787.131884,159.02801,Treatment 4
O0382,7269,0.493220792,6.326810019,0.986564788,74.43127585,10506.14787,225.78657,Treatment 4
O0412,5162,0.368733182,4.547849772,0.925477618,13.41878744,7844.703422,177.47416,Treatment 4
O0421,5140,0.415799343,5.125788293,0.962098661,26.38429212,7775.54855,168.85566,Treatment 4
O0490,5442,0.412832926,5.123224092,0.959814437,24.8845586,8317.214018,177.34827,Treatment 4
O0599,5288,0.460090101,5.690627389,0.981683366,54.59518234,7327.471627,175.92808,Treatment 4
o0639,3612,0.492728071,5.8233472,0.989405407,94.38777063,4216.659529,123.29061,Treatment 4
o0660,3239,0.333049097,3.883796341,0.874686695,7.979998586,4408.467066,115.88893,Treatment 4
O0781,7968,0.475043956,6.156570584,0.985970435,71.27804675,11722.13215,249.89641,Treatment 4
O0901,5509,0.446730963,5.551782438,0.976456725,42.47497354,8140.421894,175.82874,Treatment 4
O0947,3888,0.400858988,4.780168268,0.955279399,22.36105921,6379.72,136.96177,Treatment 4
O1008,6625,0.434594611,5.516615679,0.973946416,38.38243502,10171.38081,217.41573,Treatment 4
O1135,4815,0.474815634,5.80857163,0.985928101,71.06361351,6921.936037,154.43305,Treatment 4
o1166,4376,0.338165334,4.090243968,0.836036153,6.098905465,6323.736842,150.83916,Treatment 4
O1171,4460,0.464971381,5.636768073,0.983552162,60.79826569,6627.832215,151.30676,Treatment 4
O1198,3886,0.45996752,5.484684996,0.983402038,60.24836226,5111,135.51902,Treatment 4
O1478,8256,0.494101863,6.428871632,0.988693285,88.44301738,12057.24884,256.15528,Treatment 4
o1550,3378,0.341544651,4.003570553,0.909686072,11.07248928,5242.266055,117.19732,Treatment 4
O1614,4229,0.418526216,5.041609003,0.964883753,28.47684684,6493.944251,141.78532,Treatment 4
P0052,6805,0.438318671,5.580839641,0.96717572,30.46525276,10399.36974,217.20432,Treatment 4
P0068,4003,0.382152645,4.573169457,0.942977146,17.53682832,6158.695652,137.58942,Treatment 4
p0098,5325,0.468941098,5.804818238,0.980284621,50.7218259,7504.538462,180.60029,Treatment 4
P0403,6809,0.491183059,6.25434549,0.988071833,83.83517567,10306.32104,215.54126,Treatment 4
P0523,5840,0.419211504,5.24507065,0.957318524,23.42936778,8844.025,197.06186,Treatment 4
P0527,4238,0.404954477,4.879364473,0.959127101,24.46608932,6428.633446,144.56808,Treatment 4
P0782,4505,0.42900856,5.207010486,0.96565642,29.11752324,6241.495677,150.23908,Treatment 4
P0797,4921,0.450892063,5.530072031,0.981312535,53.51180619,7801.897436,164.45274,Treatment 4
P0815,2912,0.473426868,5.448099176,0.981378764,53.7021283,3644.09375,97.97971,Treatment 4
P0818,4057,0.465178807,5.575725091,0.985360795,68.30971994,5858.385172,136.64292,Treatment 4
p1400,6361,0.512014576,6.469323553,0.992044062,125.6922843,7950.217963,197.75212,Treatment 4
p1412,6509,0.511087824,6.474573097,0.989494286,95.18629261,7950.196121,206.72307,Treatment 4
P1731,3853,0.432701532,5.154239596,0.964536485,28.19799464,5300.645374,129.2583,Treatment 4
